"year","hra_id","hra_name","age","gender","race","ethnicity","population","uploaded"
2018,1000,"Auburn North","All","All","All","All",43708,2022-02-02
2018,1100,"Auburn South","All","All","All","All",28171,2022-02-02
2018,2000,"Ballard","All","All","All","All",61224,2022-02-02
2018,2100,"Beacon Gtown S Park","All","All","All","All",42982,2022-02-02
2018,2200,"Capitol Hill E lake","All","All","All","All",56463,2022-02-02
2018,2300,"Central Seattle","All","All","All","All",51413,2022-02-02
2018,2400,"Delridge","All","All","All","All",33536,2022-02-02
2018,2500,"Downtown","All","All","All","All",70790,2022-02-02
2018,2550,"Fremont Greenlake","All","All","All","All",62896,2022-02-02
2018,2600,"NE Seattle","All","All","All","All",74123,2022-02-02
2018,2700,"North Seattle","All","All","All","All",50438,2022-02-02
2018,2800,"NW Seattle","All","All","All","All",47961,2022-02-02
2018,2900,"QA Magnolia","All","All","All","All",70580,2022-02-02
2018,2950,"SE Seattle","All","All","All","All",47451,2022-02-02
2018,2960,"West Seattle","All","All","All","All",61061,2022-02-02
2018,3000,"Bear Creek Carnation Duvall","All","All","All","All",70836,2022-02-02
2018,4000,"Bellevue Central","All","All","All","All",37605,2022-02-02
2018,4100,"Bellevue NE","All","All","All","All",37240,2022-02-02
2018,4200,"Bellevue South","All","All","All","All",33250,2022-02-02
2018,4300,"Bellevue West","All","All","All","All",36410,2022-02-02
2018,5000,"Black Diamond Enumclaw SE County","All","All","All","All",48229,2022-02-02
2018,6000,"Bothell Woodinville","All","All","All","All",37557,2022-02-02
2018,7000,"Burien","All","All","All","All",51726,2022-02-02
2018,8000,"Covington Maple Valley","All","All","All","All",60280,2022-02-02
2018,9000,"Des Moines Normandy Park","All","All","All","All",37862,2022-02-02
2018,10000,"East Federal Way","All","All","All","All",38169,2022-02-02
2018,10100,"Fed Way Central Military Rd","All","All","All","All",62949,2022-02-02
2018,10200,"Fed Way Dash Point Woodmont","All","All","All","All",34502,2022-02-02
2018,11000,"Fairwood","All","All","All","All",25738,2022-02-02
2018,12000,"Issaquah","All","All","All","All",37123,2022-02-02
2018,13000,"Kenmore LFP","All","All","All","All",37586,2022-02-02
2018,14000,"Kent East","All","All","All","All",38117,2022-02-02
2018,14100,"Kent SE","All","All","All","All",60359,2022-02-02
2018,14200,"Kent West","All","All","All","All",29953,2022-02-02
2018,15000,"Kirkland","All","All","All","All",51784,2022-02-02
2018,15100,"Kirkland North","All","All","All","All",36157,2022-02-02
2018,16000,"Mercer Isle Pt Cities","All","All","All","All",31922,2022-02-02
2018,17000,"Newcastle Four Creeks","All","All","All","All",30639,2022-02-02
2018,18000,"North Highline","All","All","All","All",19999,2022-02-02
2018,19000,"Redmond","All","All","All","All",63002,2022-02-02
2018,20000,"Renton East","All","All","All","All",34353,2022-02-02
2018,20100,"Renton North","All","All","All","All",32665,2022-02-02
2018,20200,"Renton South","All","All","All","All",55955,2022-02-02
2018,21000,"Sammamish","All","All","All","All",51913,2022-02-02
2018,22000,"SeaTac Tukwila","All","All","All","All",48964,2022-02-02
2018,23000,"Shoreline","All","All","All","All",55711,2022-02-02
2018,24000,"Snoqualmie North Bend Skykomish","All","All","All","All",48039,2022-02-02
2018,25000,"Vashon Island","All","All","All","All",10810,2022-02-02
